1114.3 1306.8
1115.5 1291.3
1116.5 1280.7
1117.4 969.6
1118.0 969.4
1118.8 960.5
1119.2 950.1
1119.8 948.6
1120.2 938.2
1121.5 927.7
1122.1 927.5
1124.5 914.7
1133.8 897.1
1136.6 869.6
1148.8 840.1
1150.8 801.2
1152.1 790.7
1153.2 789.6
1167.3 755.7
1181.8 755.5
1185.4 707.7
1194.2 700.3
1196.2 666.1
1199.3 656.2
1205.1 604.4
1211.6 558.0
1222.6 538.5
1222.9 494.7
1230.6 427.7
1244.4 386.7
1245.3 344.2
1246.8 332.6
1258.2 297.9
1259.7 286.3
1264.5 270.7
1275.9 260.0
1277.7 229.6
1283.2 212.9
1286.9 201.5
1299.2 186.1
1303.9 185.5
1309.4 150.8
1312.3 148.5
1313.2 147.8
1322.6 139.9
1323.0 121.1
1336.4 89.0
1343.4 59.2
1348.0 55.2
1353.4 39.2
1364.4 38.0
1364.6 37.3
1364.9 30.3
1373.0 22.6
1379.6 13.0
1394.2 8.7
1397.0 0.0
