958.6 956.7
963.3 947.5
964.4 542.3
977.7 527.4
979.4 503.6
988.1 494.8
989.1 480.7
990.5 440.3
995.3 411.3
1000.0 361.8
1001.1 277.4
1004.8 236.2
1007.6 220.5
1008.1 218.3
1012.3 217.7
1014.0 194.9
1015.9 189.6
1017.2 169.3
1018.7 163.7
1019.3 156.1
1020.9 142.2
1026.9 137.2
1028.0 125.8
1029.0 125.1
1029.8 114.0
1032.9 109.7
1034.1 51.7
1037.8 50.5
1038.1 48.3
1038.4 45.5
1040.5 34.7
1046.9 33.6
1048.4 31.0
1048.5 23.2
1049.3 17.4
1055.1 9.8
1057.0 6.4
1057.6 6.2
1059.6 2.3
1061.4 1.6
1063.0 0.7
1065.8 0.0
