91 41 14 42 13 43 37 85 15 90 97 58 95 98 4 83 16 60 84 92 99 36 96 94 57 52 5 93 12 49 32 80 64 33 28 23 38 66 22 71 72 20 39 1 86 56 40 21 74 55 73 3 54 24 53 11 25 26 68 29 0 75 2 78 77 8 50 19 65 70 34 67 79 76 27 88 17 59 82 44 45 35 63 10 61 87 6 81 7 47 46 48 18 62 89 31 9 69 30 51 
26 68 29 49 75 2 78 77 8 34 33 67 11 25 52 5 93 12 88 17 59 82 44 45 35 63 10 61 87 6 81 7 47 46 48 18 9 62 89 31 65 19 69 30 51 94 91 41 14 42 13 43 37 85 15 90 84 58 95 98 4 83 16 60 92 97 99 36 96 57 0 50 70 64 80 32 28 23 38 66 22 71 72 20 39 1 86 56 40 21 74 55 73 3 54 24 53 79 76 27 
52 91 41 14 42 13 37 43 97 98 83 4 95 5 93 12 94 58 92 84 60 16 85 15 90 99 36 96 57 38 66 22 71 72 20 39 1 86 56 40 21 74 55 73 3 54 24 53 23 79 76 27 26 32 80 64 29 68 0 49 75 2 78 77 8 50 19 65 70 34 33 28 67 11 25 88 17 59 82 44 45 35 63 10 61 87 6 81 7 47 46 48 18 62 89 31 9 69 30 51 
27 25 20 71 38 66 22 40 21 39 52 26 32 50 64 19 29 68 75 2 78 80 8 77 28 23 54 55 74 73 72 1 12 57 91 41 56 14 42 13 43 37 85 15 84 98 58 96 86 94 93 5 59 4 83 16 60 90 99 36 97 92 95 88 17 82 44 45 35 63 10 61 87 6 81 7 47 46 48 18 9 62 89 31 65 70 34 33 67 11 3 24 53 79 76 49 0 69 30 51 
25 38 66 22 71 72 20 39 52 91 41 14 42 13 43 37 85 15 84 98 95 5 86 56 40 21 74 55 73 1 12 94 96 36 97 99 90 16 60 92 58 93 57 88 82 44 45 35 63 10 61 87 6 17 59 4 83 7 81 47 46 48 18 9 62 89 31 65 70 34 50 69 30 51 26 49 32 64 19 29 68 0 75 80 8 33 77 78 2 67 53 3 54 24 23 28 76 79 11 27 
26 49 32 64 19 29 68 0 75 78 77 33 8 80 2 67 28 23 53 3 54 24 79 76 11 27 25 38 66 22 71 72 20 39 52 88 82 44 45 35 63 10 61 87 6 17 59 83 7 81 47 46 48 18 9 62 89 31 65 70 34 50 69 30 51 91 96 41 14 42 13 43 37 85 15 84 98 95 5 86 56 40 21 74 55 73 1 12 93 4 16 60 90 99 36 97 92 58 94 57 
26 32 64 19 29 68 0 49 75 78 77 33 8 80 2 67 28 23 53 3 54 24 79 76 11 27 25 38 66 22 71 72 20 39 52 88 82 44 45 35 63 10 61 87 6 17 59 83 7 81 47 46 48 18 9 62 89 31 65 70 34 50 69 30 51 91 96 41 14 42 13 43 37 85 15 84 98 95 5 86 56 40 21 74 55 73 1 12 93 4 16 60 90 99 36 97 92 58 94 57 
32 80 64 33 28 23 38 66 22 40 21 72 20 52 26 68 0 49 75 11 25 39 1 86 96 94 5 12 93 59 16 60 90 99 36 97 92 58 57 51 17 82 44 45 35 63 10 61 6 87 30 29 50 8 77 78 2 67 54 55 74 73 71 3 24 53 79 76 27 88 95 91 41 56 14 42 13 43 37 85 15 84 98 4 83 7 81 47 46 48 18 9 62 89 31 19 65 70 34 69 
26 68 0 75 27 88 17 82 44 45 35 63 10 61 6 87 30 29 50 8 77 78 2 67 53 3 54 24 79 76 11 25 57 52 39 20 72 71 55 74 73 1 12 93 59 16 60 90 99 36 97 92 58 95 49 32 80 64 33 28 23 38 66 22 40 21 86 96 94 5 91 41 56 14 42 13 43 37 85 15 84 98 4 83 7 81 47 46 48 18 9 62 89 31 65 70 34 19 69 51 
25 38 66 22 71 72 20 39 52 26 32 80 64 19 29 68 75 49 50 8 77 78 2 11 27 88 82 44 45 35 63 10 61 87 6 17 59 4 83 7 81 47 46 48 18 9 62 89 31 65 70 34 33 28 67 23 24 53 79 76 0 69 30 51 93 91 41 14 42 13 43 37 85 15 90 97 98 95 5 86 56 40 21 74 55 54 3 73 1 12 96 36 99 84 60 16 92 58 94 57 
